goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
9,1979,0,247,0,71,179,1,19,0,228,0,182,654,34,19.0,0.0115997180650952,0.0,0.0,0.0115997180650952,0.012771649957700035,0.0,0.0,0.012771649957700035
62,1986,0,141,2,73,73,0,42,1,122,0,183,336,87,73.3058527375708,0.03604270668843746,0.0,0.0002967204314730935,0.0453317928203626,0.041615135037210774,0.0,0.00035828499595585143,0.05283155235868581
31,1987,0,200,0,63,97,10,11,0,115,0,165,412,80,11.0,0.0061222513894196,0.0,0.0,0.0061222513894196,0.006491189873654119,0.0,0.0,0.006491189873654119
39,1990,0,150,0,76,42,3,31,1,68,0,178,260,6,62.3058527375708,0.04383895397234804,0.0,0.00370201750187064,0.15973376871782008,0.04962735608433644,0.0,0.004433370796077616,0.18841780935738936
1,1990,0,41,1,73,40,1,8,2,43,4,180,124,49,203.00026169603316,0.02394543058031076,0.014914000827199275,0.00416226832642753,0.6478595491092297,0.028675978052672947,0.017877953635835275,0.0049845466247791575,0.7764305781596327
3,1988,1,41,1,74,23,10,11,0,33,1,180,97,36,44.09713905522289,0.03470753314062901,0.002291725120205634,0.0,0.11055707812042227,0.04076989348494268,0.0027444676356670954,0.0,0.13160392045517533
0,1992,1,8,1,80,8,5,0,0,8,0,189,24,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1990,1,0,1,83,1,5,0,0,2,0,188,3,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,1,34,1,68,25,4,21,2,62,0,180,121,75,83.6117054751416,0.06047192845733252,0.0,0.0022344319922004935,0.13042272735727814,0.07149134695821709,0.0,0.0026758559447754185,0.1552612991123097
0,1994,1,17,2,70,8,6,3,1,25,0,179,50,74,34.3058527375708,0.01767959237527182,0.0,0.014143673900217457,0.46045936466370313,0.02134781434236948,0.0,0.017078251473895585,0.5559970399993461
0,1992,1,16,0,78,8,3,2,0,12,0,180,36,46,2.0,0.01459759575177977,0.0,0.0,0.01459759575177977,0.012493915019155023,0.0,0.0,0.012493915019155023
25,1985,0,93,3,78,61,4,70,2,92,3,185,246,23,231.90312264081027,0.08053265000443038,0.003489731107954624,0.0038093003210764253,0.3152861606345414,0.09469616160671351,0.004230877188178188,0.0037083583832595458,0.35081941367387703
21,1986,1,109,0,75,51,3,24,2,48,0,188,208,6,86.6117054751416,0.03853467722411999,0.0,0.0012023905468130647,0.07617653861569702,0.042941848430972936,0.0,0.0013739810344296302,0.08595549635904212
9,1985,0,88,2,79,63,4,66,0,60,1,184,211,33,99.0971390552229,0.10997329671250486,0.0017048178361869257,0.0,0.16639788970060768,0.13279093041310971,0.002058539240157057,0.0,0.2009226898952206
1,1985,0,83,0,90,54,5,4,0,69,0,188,206,61,4.0,0.008022800978641501,0.0,0.0,0.008022800978641501,0.009738941174097659,0.0,0.0,0.009738941174097659
13,1988,0,46,2,76,34,7,21,0,51,0,188,131,0,21.0,0.05544750854846041,0.0,0.0,0.05544750854846041,0.06830740484143295,0.0,0.0,0.06830740484143295
55,1987,0,145,0,62,68,7,21,0,126,0,175,339,79,21.0,0.029258847635940163,0.0,0.0,0.029258847635940163,0.032520018641898005,0.0,0.0,0.032520018641898005
1,1988,0,28,3,76,18,1,14,1,36,1,190,82,67,78.40299179279369,0.03709364334585437,0.002931390810474857,0.00635082786279948,0.3329323744598053,0.04155137617229469,0.003407487875296558,0.007617104552014318,0.39278942960201135
4,1991,0,55,0,73,31,9,29,1,45,2,173,131,48,126.50013084801658,0.08112964619750078,0.0028420140197399713,0.0028420140197399713,0.26416385178581875,0.09321538154736715,0.0032475915359245805,0.0032475915359245805,0.3023699925818642
51,1987,0,83,2,87,40,2,18,0,59,1,193,182,1,51.09713905522289,0.035321544745525284,0.0013638542689495404,0.0,0.08046121913600758,0.04169142144876204,0.0016468313921256456,0.0,0.09619682903445083
0,1987,0,22,3,88,6,5,1,1,16,0,190,44,63,32.3058527375708,0.011379629586193558,0.0,0.0021181662630528,0.07769063069101516,0.016438090679649568,0.0,0.0024621847873110615,0.09351888504389673
41,1989,0,67,0,78,56,7,23,0,86,1,180,209,58,56.09713905522289,0.04320488230187036,0.00047366900328999525,0.0,0.058881971169908155,0.05067638917599687,0.0005412652559874301,0.0,0.06859072061917366
20,1985,0,144,3,88,71,1,59,3,71,2,190,286,83,219.11183632315817,0.07075942208101169,0.003957136338015822,0.00587930051407653,0.38578582981440096,0.08034985551459765,0.005585154624493877,0.00674240341627548,0.47627918321360707
39,1984,0,53,3,69,43,2,22,0,82,1,171,178,35,55.09713905522289,0.05123729591056445,0.000698544193134434,0.0,0.07435711020695329,0.0598387002312861,0.0008119971107089671,0.0,0.08671348151686001
178,1979,0,199,1,74,120,8,90,3,134,2,180,453,3,250.11183632315817,0.06227569517932195,0.0005979081981723605,0.0014947704954309012,0.12885981096291593,0.07311185209283101,0.0007917817990429297,0.001979454497607324,0.1612860753999666
60,1988,0,145,3,73,62,2,16,0,87,0,183,294,10,16.0,0.028307442715163042,0.0,0.0,0.028307442715163042,0.031750816291045404,0.0,0.0,0.031750816291045404
0,1983,0,10,3,82,11,5,3,0,8,0,188,29,70,3.0,0.028307442715163042,0.0,0.0,0.028307442715163042,0.031750816291045404,0.0,0.0,0.031750816291045404
33,1984,0,229,3,67,59,7,58,3,85,1,172,373,29,185.01469726793528,0.03656105733475656,0.000253330070041037,0.0006731341861090411,0.06601859759272832,0.04306614647183351,0.00029447426082809765,0.0007824601787718023,0.0773079851602884
6,1995,0,42,1,71,14,4,11,0,10,0,188,66,57,11.0,0.08931617083450556,0.0,0.0,0.08931617083450556,0.09513353002132817,0.0,0.0,0.09513353002132817
105,1981,0,125,3,78,82,2,68,4,115,3,182,322,9,292.51482811595184,0.06834299429956657,0.0013752203802227722,0.0020114026613784588,0.1768275299684482,0.07886697887348616,0.0015985745587811012,0.0023380813491313615,0.20497085373997312
52,1987,0,78,3,77,62,2,8,0,60,0,187,200,65,8.0,0.010445884488092132,0.0,0.0,0.010445884488092132,0.01214243580648887,0.0,0.0,0.01214243580648887
4,1993,0,6,2,69,1,0,1,0,8,0,179,15,2,1.0,0.02727708537899081,0.0,0.0,0.02727708537899081,0.03293662784251291,0.0,0.0,0.03293662784251291
31,1988,1,39,1,66,42,7,17,1,49,0,176,130,30,48.3058527375708,0.05587572166305204,0.0,0.0013750350721233805,0.09892236713994164,0.06604902693564492,0.0,0.0016466805814002573,0.11759976672277885
3,1984,0,70,1,74,68,4,61,1,97,2,180,235,30,158.50013084801657,0.1022966079457215,0.0013125334779359543,0.0006481646804621995,0.1660290590158474,0.11725699256048557,0.001571831464063882,0.0007762130686735218,0.1935801291188537
11,1977,0,292,3,77,139,4,197,6,130,3,181,561,83,484.12653359109345,0.10908907635951949,0.0005225233742816268,0.0019505866786134363,0.18744788445026242,0.12589545610952554,0.0006073881572055779,0.00229403194176908,0.2178148925533606
4,1989,0,51,3,82,50,1,69,3,70,0,186,171,72,162.91755821271238,0.10784212924602886,0.0,0.009589601685719474,0.40805278743112344,0.12309132435509589,0.0,0.011230595933329745,0.47467470679907836
11,1982,0,77,1,68,52,10,39,1,46,2,170,175,5,136.50013084801657,0.07583855181681698,0.003202696068166163,0.0012582020267795637,0.2212277163010022,0.09114546000501672,0.0038354057510926963,0.0015067665450721308,0.2652570290520598
45,1981,0,104,3,73,41,11,36,1,52,0,175,197,60,67.3058527375708,0.0582765294201085,0.0,0.002897903732205287,0.148997876908184,0.05979849013475106,0.0,0.003403359841965637,0.1663435721602895
1,1991,0,50,2,68,36,4,22,0,50,1,175,136,87,55.09713905522289,0.06156215149843303,0.0072052678359598365,0.0,0.3000359029953207,0.07433527610871546,0.008700241316890202,0.0,0.362288372787826
28,1985,0,138,0,80,57,6,50,3,90,4,187,285,46,276.30611443360397,0.05374045513268913,0.00683473673481853,0.005908699793930607,0.4649275728701245,0.060315754114558924,0.00660077191337658,0.0061915288695921725,0.4726135110152639
16,1988,0,57,3,66,30,3,32,0,54,0,174,141,20,32.0,0.07795367635273683,0.0,0.0,0.07795367635273683,0.0906143957528863,0.0,0.0,0.0906143957528863
2,1991,1,6,0,72,15,2,3,0,13,0,180,34,46,3.0,0.03978819627635961,0.0,0.0,0.03978819627635961,0.045466281502944135,0.0,0.0,0.045466281502944135
4,1993,0,5,3,77,5,2,5,0,10,0,185,20,72,5.0,0.08207894269329599,0.0,0.0,0.08207894269329599,0.09540966050830363,0.0,0.0,0.09540966050830363
11,1987,1,209,3,74,65,4,67,0,73,2,182,347,29,133.1942781104458,0.056005838149107826,0.00022919467901128798,0.0,0.0635915263110616,0.06429295244355349,0.0025055736972286985,0.0,0.1472202735138407
3,1992,0,30,3,68,12,3,8,1,26,0,180,68,64,39.3058527375708,0.03259493654816352,0.0,0.004319944352278737,0.1678344782751023,0.03778562563034824,0.0,0.005021561079384402,0.1949898772942734
38,1982,0,243,1,92,81,1,48,2,47,0,188,371,57,110.6117054751416,0.05050724439867674,0.0,0.0011272100441027824,0.08579551604366914,0.05762382054182567,0.0,0.0013290432163161026,0.09923065175368505
12,1989,0,54,0,75,26,6,18,0,58,1,174,138,47,51.09713905522289,0.03360732699991144,0.001693554096746528,0.0,0.08965912243747368,0.03814776618998778,0.0020312278805371515,0.0,0.10537559780497155
36,1990,0,85,2,85,43,8,25,0,57,1,183,185,0,58.09713905522289,0.054434452815005197,0.0021947080189992606,0.0,0.12707300930543647,0.0656436568669169,0.0026500735045700045,0.0,0.15335350815423218
2,1993,0,25,2,72,7,4,2,0,26,0,183,58,25,2.0,0.015074178762073868,0.0,0.0,0.015074178762073868,0.01820182064980977,0.0,0.0,0.01820182064980977
31,1982,0,132,2,92,90,1,42,3,103,4,193,325,86,268.30611443360397,0.05753631528099406,0.006512410310944759,0.0010658510235809807,0.30644584011141535,0.06739639912399716,0.00766892733331636,0.0012869974196835189,0.3615065051734142
0,1977,0,115,2,83,96,5,11,1,111,0,188,322,28,42.3058527375708,0.010353324962595611,0.0,0.0005943939199013007,0.028961333487133183,0.01279212628882453,0.0,0.0006918606328055147,0.03445141337435651
106,1983,0,121,2,84,85,0,39,0,136,2,196,342,25,105.19427811044578,0.03861820802463928,0.011638226239842796,0.0,0.42381020024086,0.046587871730562315,0.013668292609322718,0.0,0.49896925286879146
6,1991,0,49,2,72,23,10,14,0,31,1,173,103,15,47.09713905522289,0.04770499413729195,0.005065730410723301,0.0,0.2153661779572724,0.05183986204606211,0.004847608334672449,0.0,0.21228182918397362
0,1992,0,41,2,83,22,5,1,0,26,0,189,89,69,1.0,0.0061593418597721186,0.0,0.0,0.0061593418597721186,0.007437303061212593,0.0,0.0,0.007437303061212593
11,1986,1,88,0,68,54,4,34,0,72,0,180,214,52,34.0,0.05344955751526183,0.0,0.0,0.05344955751526183,0.05762047478684447,0.0,0.0,0.05762047478684447
68,1982,1,111,1,70,53,11,33,2,65,0,176,229,75,95.6117054751416,0.04372398820324013,0.0,0.009567774111642236,0.3432513155686544,0.05313206951004136,0.0,0.011298267097345018,0.40683395544926604
42,1991,1,77,1,73,31,2,18,1,45,2,174,153,55,115.50013084801658,0.035107808196399345,0.0019220920363014996,0.004872596521608371,0.251264344753878,0.036546435537803845,0.002301811565398209,0.006452551163677525,0.3147324295084384
16,1985,0,96,3,80,57,1,77,4,102,7,183,255,35,433.90338433684343,0.09062429305165633,0.013446415807431314,0.004503024722505934,0.6766332156609692,0.10248816856873436,0.015482359594552573,0.005234376149802434,0.778776585891373
96,1988,0,215,3,73,67,11,60,2,91,2,170,373,29,188.80598358558737,0.053300274349705766,0.0013095123830402441,0.004605555779953224,0.24082223880760872,0.060057857348437875,0.0016110370973211234,0.005241850160465304,0.2774791653775365
53,1986,0,91,3,73,51,0,25,0,85,0,175,227,59,25.0,0.04193613206514618,0.0,0.0,0.04193613206514618,0.048747120663066065,0.0,0.0,0.048747120663066065
7,1992,1,38,3,68,21,10,18,1,49,0,174,108,60,49.3058527375708,0.04700188193631973,0.0,0.0012070432749014116,0.0847894009482585,0.054635616050179844,0.0,0.001403083242769171,0.09856033342686482
3,1988,0,46,2,68,27,4,27,2,43,0,169,116,0,89.6117054751416,0.10292578122311444,0.0,0.007637583906117427,0.3420268582588674,0.11798422567100351,0.0,0.009222255795903614,0.40669480752577086
24,1981,1,195,0,79,109,4,91,2,116,5,190,420,89,319.0974007512561,0.07880616239179186,0.0027327391474805895,0.00398319194939098,0.2939492305507198,0.09227563881131896,0.0031722091042756103,0.004581964731276896,0.34070899777387054
0,1993,0,26,1,88,14,5,0,0,7,0,190,47,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,0,30,3,76,34,1,43,2,50,0,183,114,67,105.6117054751416,0.12281441795589472,0.0,0.007295906017181866,0.35121897731694696,0.14276112164946175,0.0,0.00848085871184921,0.4082616355707574
150,1985,0,162,3,87,58,2,27,5,101,0,186,321,72,183.52926368785398,0.02207563519471926,0.0,0.002018727899912745,0.08527363354661324,0.025417259772225538,0.0,0.0023465963043533132,0.09887945811083824
4,1979,0,80,3,80,78,4,45,0,99,3,178,257,66,144.29141716566866,0.06610628324267095,0.0036389679026584427,0.0,0.18654570993445027,0.07684282758389081,0.004229984948644004,0.0,0.2168432276306612
2,1994,0,19,3,69,12,8,9,0,24,1,180,55,62,42.09713905522289,0.06089670468909378,0.008213053145997622,0.0,0.3327252667301129,0.07098358784487732,0.005239383027785622,0.0,0.2443921764790728
32,1991,0,50,3,71,27,2,9,0,59,0,182,136,35,9.0,0.03820558495868302,0.0,0.0,0.03820558495868302,0.04337652823544267,0.0,0.0,0.04337652823544267
3,1991,0,9,3,80,10,2,5,0,10,0,182,29,59,5.0,0.03820558495868302,0.0,0.0,0.03820558495868302,0.04337652823544267,0.0,0.0,0.04337652823544267
4,1987,1,109,3,75,51,6,28,3,53,0,181,213,83,121.9175582127124,0.047083401934494284,0.0,0.002031211750820191,0.11067221788449454,0.053243343020186414,0.0,0.002392427143152532,0.12814031484908683
5,1983,0,45,3,86,37,1,40,1,44,4,192,126,62,203.69440895846236,0.09800605186260818,0.008207894269329599,0.001709977972777,0.42319618844542356,0.11376020145205079,0.009540966050830364,0.001987701260589659,0.49176556450784775
11,1993,0,47,2,67,22,10,1,0,32,0,168,101,15,1.0,0.00435516687866667,0.0,0.0,0.00435516687866667,0.00629112112431033,0.0,0.0,0.00629112112431033
12,1987,1,41,1,81,27,6,19,0,31,2,186,99,3,85.19427811044578,0.08299191441910318,0.018080409604711363,0.0,0.6814017452816225,0.09652169973138783,0.018326211639004063,0.0,0.7030668747029496
5,1985,0,98,3,85,65,1,93,4,111,9,192,274,9,516.0976624472892,0.0918858303801639,0.010042889144822681,0.004678753998843758,0.570749112605672,0.10650306891742158,0.010728968417031188,0.004667181984796422,0.6077113404504777
23,1979,0,229,2,75,83,4,62,2,94,2,181,406,12,190.8059835855874,0.04763458747884911,0.002675988697806648,0.0025143578935011702,0.21491627546385694,0.05055172083123726,0.0028188134237231047,0.003013560689492699,0.2381884678479205
21,1989,0,101,3,73,57,0,62,4,72,1,182,230,9,220.3205500055061,0.08590717169732207,0.0011560414463844507,0.001913890839014257,0.1840848209638754,0.09776605628099495,0.0013437980353282202,0.0022247323029322757,0.21188906857450296
0,1984,0,50,0,80,20,5,1,0,30,0,193,100,47,1.0,0.0016687731060452216,0.0,0.0,0.0016687731060452216,0.0015498523160429967,0.0,0.0,0.0015498523160429967
1,1989,0,5,3,81,7,1,3,0,20,2,188,32,59,69.19427811044578,0.02747266459141205,0.024432703750919608,0.0,0.8361252581306642,0.03066295990400035,0.02712926877406318,0.0,0.9285641409856856
13,1988,1,148,0,69,27,3,19,0,45,0,176,220,47,19.0,0.033425329250419335,0.0,0.0,0.033425329250419335,0.035922729619367696,0.0,0.0,0.035922729619367696
56,1989,1,107,1,72,67,0,45,1,74,0,176,248,56,76.3058527375708,0.07939395529921366,0.0,0.00202636747470814,0.1428311170546299,0.09152548519078649,0.0,0.002426687172589853,0.1674949964560365
32,1990,0,60,2,74,28,7,15,2,48,1,180,136,33,110.70884453036449,0.04218432971402067,0.0011101139398426493,0.008880911518741194,0.3569504333292422,0.05093687794249089,0.0013404441563813394,0.010723553251050715,0.43101172348289735
11,1993,0,51,2,79,24,4,35,1,53,1,187,128,45,99.4029917927937,0.11249348650545798,0.005231221853505086,0.002615610926752543,0.3675158941113328,0.13495232382080985,0.0063166135588380926,0.0031583067794190463,0.4428876480723448
21,1980,1,89,1,76,82,1,53,3,99,2,184,270,4,213.11183632315817,0.0693380531260196,0.0014844128619513769,0.004698036496421551,0.2655439107460918,0.08119415717483376,0.0017776665367389142,0.005626158653117546,0.3161615280078056
