playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour,name_date,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
lucas-wilchez,Lucas Wilchez,Real Zaragoza,Spain,31.08.1983,177.0,72.0,Attacking Midfielder,144.0,65.0,32.0,47.0,10.0,21.0,1.0,2.0,0.375,lucas-wilchez31.08.1983,116.67421272412172,0.05885762693009488,0.0005346820851021094,0.001203034691479746,0.1141960699308235,0.09339523159245579,0.0010873942811115583,0.002446637132501006,0.20593819519879872
john-utaka,John Utaka,Montpellier HSC,France,08.01.1982,179.0,82.0,Right Winger,427.0,183.0,101.0,143.0,88.0,33.0,0.0,2.0,0.75,john-utaka08.01.1982,95.58904971680302,0.0204508322670389,0.0,0.0017523209078105415,0.07528888247641262,0.013637910007729816,0.0,-0.000520141038910026,-0.0026396566643147813
aaron-hughes,Aaron Hughes,Fulham FC,England,08.11.1979,182.0,71.0,Center Back,654.0,247.0,179.0,228.0,9.0,19.0,0.0,0.0,0.125,aaron-hughes08.11.1979,19.0,0.011767731961570872,0.0,0.0,0.011767731961570872,0.018964605224197423,0.0,0.0,0.018964605224197423
aleksandar-kolarov,Aleksandar Kolarov,Manchester City,England,10.11.1985,187.0,80.0,Left Fullback,285.0,138.0,57.0,90.0,28.0,50.0,4.0,3.0,0.125,aleksandar-kolarov10.11.1985,276.2242266044793,0.05478756675143888,0.0062569721662247635,0.008396163378449681,0.5245544543653351,0.08506623903073468,0.011986474408674218,0.018192363128764474,1.050962058890962
alexander-tettey,Alexander Tettey,Norwich City,England,04.04.1986,180.0,68.0,Defensive Midfielder,214.0,88.0,54.0,72.0,11.0,34.0,0.0,0.0,1.0,alexander-tettey04.04.1986,34.0,0.04978773593206035,0.0,0.0,0.04978773593206035,0.07737245286922913,0.0,0.0,0.07737245286922913
anders-lindegaard,Anders Lindegaard,Manchester United,England,13.04.1984,193.0,80.0,Goalkeeper,100.0,50.0,20.0,30.0,0.0,1.0,0.0,0.0,0.25,anders-lindegaard13.04.1984,1.0,0.0015138050000536578,0.0,0.0,0.0015138050000536578,0.0030792188965634844,0.0,0.0,0.0030792188965634844
andreas-beck,Andreas Beck,1899 Hoffenheim,Germany,13.03.1987,180.0,70.0,Right Fullback,296.0,125.0,72.0,99.0,7.0,57.0,1.0,0.0,0.0,andreas-beck13.03.1987,90.0851630073187,0.05179925178598972,0.00038737418025629574,0.0,0.06461558968459573,0.05408146598793594,0.00038661322485650294,0.0,0.06687262755309849
antonio-rukavina,Antonio Rukavina,Real Valladolid,Spain,26.01.1984,177.0,74.0,Right Fullback,249.0,95.0,70.0,84.0,3.0,37.0,1.0,0.0,0.0,antonio-rukavina26.01.1984,70.0851630073187,0.04992161954017744,0.0012843527575943474,0.0,0.09241463988408571,0.06394914815030078,0.002042698998418555,0.0,0.1315321774878653
ashkan-dejagah,Ashkan Dejagah,Fulham FC,England,05.07.1986,181.0,74.0,Left Winger,320.0,130.0,71.0,119.0,56.0,55.0,1.0,4.0,0.5,ashkan-dejagah05.07.1986,213.26326244092473,0.05852735701788166,0.0014509834596669008,0.00612637460748247,0.29825536374762424,0.07045810014298869,0.0014481331568978492,0.006114339995790919,0.30971518668625453
benedikt-hoewedes,Benedikt Höwedes,FC Schalke 04,Germany,29.02.1988,187.0,80.0,Center Back,295.0,159.0,54.0,82.0,21.0,27.0,2.0,3.0,0.0,benedikt-hoewedes29.02.1988,187.05390058984193,0.022564590490702155,0.0007382196549182478,0.00497624926956156,0.2027180645767755,0.02733752320577034,0.0007367695008778532,0.0058945429027317505,0.23618058163958788
chris-baird,Chris Baird,Fulham FC,England,25.02.1982,186.0,77.0,Defensive Midfielder,340.0,119.0,95.0,126.0,7.0,55.0,2.0,1.0,0.0,chris-baird25.02.1982,152.4648508730389,0.05244353493696254,0.002722414031056034,0.0005444828062112067,0.1595543776418118,0.08039934825163102,0.0029703796856793666,0.0005940759371358734,0.19726616852843767
chris-brunt,Chris Brunt,West Bromwich Albion,England,14.12.1984,185.0,74.0,,390.0,135.0,108.0,147.0,60.0,57.0,1.0,1.0,0.125,chris-brunt14.12.1984,121.3796878657202,0.048731536891703064,0.003237798160986036,0.0002724684601557331,0.16438138783219672,0.08203028596685115,0.00408879642799866,0.00029728570665681737,0.22661219722794843
daniel-schwaab,Daniel Schwaab,Bayer Leverkusen,Germany,23.08.1988,186.0,76.0,Right Fullback,284.0,141.0,69.0,74.0,7.0,40.0,0.0,1.0,0.0,daniel-schwaab23.08.1988,71.2945248584015,0.04455172266409551,0.0,0.0002795914972115623,0.05330140572378044,0.056657350311315094,0.0,0.000279042269435466,0.06538984554870807
dennis-aogo,Dennis Aogo,Hamburger SV,Germany,14.01.1987,184.0,85.0,Left Fullback,320.0,141.0,77.0,102.0,20.0,50.0,0.0,0.0,0.5,dennis-aogo14.01.1987,50.0,0.05652527986173033,0.0,0.0,0.05652527986173033,0.06574778864996389,0.0,0.0,0.06574778864996389
george-mccartney,George McCartney,West Ham United,England,29.04.1981,180.0,74.0,Left Fullback,410.0,157.0,96.0,157.0,2.0,64.0,1.0,1.0,0.0,george-mccartney29.04.1981,128.3796878657202,0.052486384109673455,0.0017714423220882185,0.0007292180440328661,0.13391537430020678,0.061218316742108925,0.0035284185038868343,0.0007956374158069732,0.20285571298849003
gylfi-sigurdsson,Gylfi Sigurðsson,Tottenham Hotspur,England,08.09.1989,186.0,77.0,Attacking Midfielder,227.0,98.0,51.0,78.0,64.0,15.0,0.0,0.0,0.0,gylfi-sigurdsson08.09.1989,15.0,0.02772441672378188,0.0,0.0,0.02772441672378188,0.037002713510439,0.0,0.0,0.037002713510439
ivan-obradovic,Ivan Obradović,Real Zaragoza,Spain,25.07.1988,181.0,74.0,Left Fullback,89.0,38.0,17.0,34.0,2.0,17.0,0.0,0.0,0.125,ivan-obradovic25.07.1988,17.0,0.0786843880886812,0.0,0.0,0.0786843880886812,0.1164532145551956,0.0,0.0,0.1164532145551956
jan-moravek,Jan Morávek,FC Augsburg,Germany,01.11.1989,180.0,75.0,Attacking Midfielder,113.0,52.0,19.0,42.0,10.0,22.0,0.0,0.0,0.125,jan-moravek01.11.1989,22.0,0.06618441304393331,0.0,0.0,0.06618441304393331,0.08009966440030226,0.0,0.0,0.08009966440030226
jan-rosenthal,Jan Rosenthal,SC Freiburg,Germany,07.04.1986,186.0,76.0,Attacking Midfielder,205.0,82.0,47.0,76.0,29.0,18.0,1.0,0.0,0.0,jan-rosenthal07.04.1986,51.0851630073187,0.03276477649372863,0.0026299075206462578,0.0,0.11977569550848344,0.04070135963613857,0.002624741346877352,0.0,0.12754135494962499
jonny-evans,Jonny Evans,Manchester United,England,02.01.1988,188.0,77.0,Center Back,255.0,150.0,44.0,61.0,9.0,27.0,0.0,3.0,0.0,jonny-evans02.01.1988,120.88357457520453,0.04062389019893579,0.0,0.005052777709430664,0.19874816783069085,0.0685662794703522,0.0,0.006731732165871883,0.2792326390753308
kyriakos-papadopoulos,Kyriakos Papadopoulos,FC Schalke 04,Germany,23.02.1992,183.0,85.0,Center Back,140.0,75.0,24.0,41.0,13.0,34.0,2.0,1.0,0.0,kyriakos-papadopoulos23.02.1992,131.4648508730389,0.08551828486560206,0.002732371450022086,0.0014572647733451126,0.22152364836084804,0.1288297272169587,0.00272700399675569,0.0014544021316030347,0.2645679226327936
marko-marin,Marko Marin,Chelsea FC,England,13.03.1989,170.0,63.0,Attacking Midfielder,276.0,119.0,70.0,87.0,33.0,28.0,0.0,0.0,0.125,marko-marin13.03.1989,28.0,0.03473188263630511,0.0,0.0,0.03473188263630511,0.04742193649044523,0.0,0.0,0.04742193649044523
mats-hummels,Mats Hummels,Borussia Dortmund,Germany,16.12.1988,192.0,90.0,Center Back,319.0,181.0,74.0,64.0,32.0,36.0,0.0,1.0,0.25,mats-hummels16.12.1988,67.2945248584015,0.0417183359301492,0.0,0.00017896234058624187,0.04731887734634307,0.04799089778379696,0.0,0.00017861078809160074,0.05358043753170824
mesut-oezil,Mesut Özil,Real Madrid,Spain,15.10.1988,183.0,76.0,Attacking Midfielder,418.0,260.0,82.0,76.0,76.0,28.0,0.0,3.0,0.125,mesut-oezil15.10.1988,121.88357457520453,0.022687131785918607,0.0,0.002215419607279254,0.09201763575770933,0.04085106380445053,0.0,0.0029830715376916207,0.134204870195131
milorad-pekovic,Milorad Peković,SpVgg Greuther Fürth,Germany,05.08.1977,189.0,88.0,Defensive Midfielder,377.0,143.0,106.0,128.0,17.0,135.0,6.0,2.0,0.125,milorad-pekovic05.08.1977,396.1000277607152,0.13088027368590452,0.0057784634653231855,0.0006842808500924876,0.3434759234413049,0.1772269444400219,0.007022761675550872,0.0006829366531005555,0.4309483373043419
nemanja-vidic,Nemanja Vidić,Manchester United,England,21.10.1981,188.0,82.0,Center Back,367.0,237.0,64.0,66.0,26.0,71.0,5.0,4.0,0.0,nemanja-vidic21.10.1981,361.6039144701995,0.07352837917509218,0.0039932990600917056,0.005668059990488834,0.38302657378646265,0.1125093995293354,0.004751870394599668,0.011817072747037926,0.6395354829600346
neven-subotic,Neven Subotić,Borussia Dortmund,Germany,10.12.1988,193.0,88.0,Center Back,300.0,169.0,66.0,65.0,24.0,32.0,1.0,1.0,0.125,neven-subotic10.12.1988,96.3796878657202,0.03723984683524418,0.00017717271718037945,0.001683140813213605,0.0957747270829099,0.05533190174041697,0.00017682468021068472,0.0016798344620015053,0.11375179643801012
patrick-ebert,Patrick Ebert,Real Valladolid,Spain,17.03.1987,172.0,68.0,Left Midfielder,247.0,91.0,62.0,94.0,30.0,54.0,2.0,0.0,0.0,patrick-ebert17.03.1987,120.1703260146374,0.061867293353695424,0.007280893365399129,0.0,0.3027568371868309,0.07886257758096422,0.013435691035027137,0.0,0.5233846055908076
peter-gulacsi,Péter Gulácsi,Liverpool FC (R),England,06.05.1990,190.0,75.0,Goalkeeper,106.0,65.0,11.0,30.0,0.0,2.0,0.0,0.0,0.0,peter-gulacsi06.05.1990,2.0,0.009183023798356282,0.0,0.0,0.009183023798356282,0.017625858329475535,0.0,0.0,0.017625858329475535
steven-davis_2,Steven Davis,Southampton FC,England,01.01.1985,170.0,60.0,Defensive Midfielder,443.0,189.0,115.0,139.0,39.0,21.0,0.0,0.0,0.0,steven-davis_201.01.1985,21.0,0.016844622681601785,0.0,0.0,0.016844622681601785,0.021199393234420067,0.0,0.0,0.021199393234420067
zdravko-kuzmanovic,Zdravko Kuzmanović,VfB Stuttgart,Germany,22.09.1987,186.0,71.0,Defensive Midfielder,339.0,156.0,77.0,106.0,38.0,42.0,1.0,1.0,0.0,zdravko-kuzmanovic22.09.1987,106.3796878657202,0.047143272496989935,0.0003536010111793288,0.0024021300274023826,0.1340157374470673,0.0764253032604984,0.0003529063995801481,0.0026209232520700296,0.17012181688080158
carl-medjani,Carl Medjani,AC Ajaccio,France,15.05.1985,184.0,84.0,Center Back,229.0,78.0,64.0,87.0,9.0,25.0,0.0,5.0,0.5,carl-medjani15.05.1985,181.47262429200754,0.0327489962897967,0.0,0.009103092074470357,0.317625937502627,0.032887657073973904,0.0,0.009141634992681153,0.3189707805988674
hassan-yebda,Hassan Yebda,Granada CF,Spain,14.05.1984,187.0,80.0,Center Midfielder,168.0,70.0,36.0,62.0,8.0,35.0,1.0,0.0,0.0,hassan-yebda14.05.1984,68.0851630073187,0.07836776557490618,0.0018895384768940998,0.0,0.14088345409154818,0.10226712622653852,0.003763646404145957,0.0,0.2267879810096163
