playerShort,weight,yellowCards,player,skin_colour,club,birthday,defeats,yellowReds,ties,goals,position,games,leagueCountry,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
aaron-hughes,71.0,19,Aaron Hughes,0.125,Fulham FC,08.11.1979,228,0,179,9,Center Back,654,England,0,247,182.0,19.0,0.011767731961570872,0.0,0.0,0.011767731961570872,0.018964605224197423,0.0,0.0,0.018964605224197423
aaron-hunt,73.0,42,Aaron Hunt,0.125,Werder Bremen,04.09.1986,122,0,73,62,Attacking Midfielder,336,Germany,1,141,183.0,73.3058527375708,0.03540769249155669,0.0,0.00026156034393373813,0.04359606210073466,0.049166270970825876,0.0,0.0002610465364415704,0.05733855539831857
aaron-lennon,63.0,11,Aaron Lennon,0.25,Tottenham Hotspur,16.04.1987,115,0,97,31,Right Midfielder,412,England,0,200,165.0,11.0,0.006369300688664299,0.0,0.0,0.006369300688664299,0.011298683434572843,0.0,0.0,0.011298683434572843
aaron-ramsey,76.0,31,Aaron Ramsey,0.0,Arsenal FC,26.12.1990,68,0,42,39,Center Midfielder,260,England,1,150,178.0,62.3058527375708,0.0408485657480255,0.0,0.0032181143831188173,0.14159438071860167,0.05598452800341174,0.0,0.0032317400301458753,0.1571569054732711
abdelhamid-el-kaoutari,73.0,8,Abdelhamid El-Kaoutari,0.25,Montpellier HSC,17.03.1990,43,4,40,1,Center Back,124,France,2,41,180.0,203.00026169603316,0.020815443071658366,0.014147281436334177,0.0036182042793984543,0.6023209543686804,0.02090357663257032,0.01667379064251643,0.0036335239257856327,0.686508909044696
abdou-traore_2,74.0,11,Abdou Traoré,0.75,Girondins Bordeaux,17.01.1988,33,1,23,3,Right Midfielder,97,France,0,41,180.0,44.09713905522289,0.03172577809567082,0.0019921660466926013,0.0,0.09766077476414947,0.03769844532816411,0.0020006009710426846,0.0,0.10391261386077778
abdoulaye-diallo_2,80.0,0,Abdoulaye Diallo,0.875,Stade Rennes,30.03.1992,8,0,8,0,Goalkeeper,24,France,0,8,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdoulaye-keita_2,83.0,0,Abdoulaye Keita,0.875,Girondins Bordeaux,19.08.1990,2,0,1,0,Goalkeeper,3,France,0,0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdoulwhaid-sissoko,68.0,21,Abdoulwhaid Sissoko,1.0,Stade Brest,20.03.1990,62,0,25,3,Defensive Midfielder,121,France,2,34,180.0,83.6117054751416,0.05935706233459305,0.0,0.0019423618955252862,0.12016435779897652,0.0770328305505179,0.0,0.0019505859467666175,0.13809758695196875
abdul-rahman-baba,70.0,3,Abdul Rahman Baba,0.875,SpVgg Greuther Fürth,02.07.1994,25,0,8,0,Left Fullback,50,Germany,1,17,179.0,34.3058527375708,0.01558463715938523,0.0,0.012467709727508184,0.40589692186353543,0.015554022796310232,0.0,0.012443218237048186,0.405099580506796
abdul-razak,78.0,2,Abdul Razak,1.0,Manchester City,11.11.1992,12,0,8,0,Center Midfielder,36,England,0,16,180.0,2.0,0.01701571251248385,0.0,0.0,0.01701571251248385,0.042150001632364605,0.0,0.0,0.042150001632364605
abel-aguilar,78.0,70,Abel Aguilar,0.375,Deportivo La Coruña,06.01.1985,92,3,61,25,Defensive Midfielder,246,Spain,2,93,185.0,231.90312264081027,0.08983198702150474,0.004663583639510488,0.003719929888008179,0.36063884050211814,0.1380409855999833,0.007995536356105679,0.007316871224060032,0.6317312572392959
abelaziz-barrada,78.0,11,Abelaziz Barrada,0.0,Getafe CF,19.06.1989,32,1,25,14,,85,Spain,1,28,185.0,75.40299179279369,0.04541058332545084,0.0031614837110014705,0.0031614837110014705,0.24901959281812955,0.05575982487238246,0.0050281821499533665,0.0050281821499533665,0.3795897986085009
abou-diaby,75.0,24,Abou Diaby,0.75,Arsenal FC,11.05.1986,48,0,51,21,Center Midfielder,208,England,2,109,188.0,86.6117054751416,0.03687340852693113,0.0,0.000987249044229111,0.06778008172087518,0.05440688397891369,0.0,0.0010771706552463638,0.08812862988528901
