index,weight,yellowCards,skin_colour,defeats,yellowReds,ties,goals,games,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
0,71.0,19,0.125,228,0,179,9,654,0,247,182.0,19.0,0.011767731961570872,0.0,0.0,0.011767731961570872,0.018964605224197423,0.0,0.0,0.018964605224197423
1,73.0,42,0.125,122,0,73,62,336,1,141,183.0,73.3058527375708,0.03540769249155669,0.0,0.00026156034393373813,0.04359606210073466,0.049166270970825876,0.0,0.0002610465364415704,0.05733855539831857
2,63.0,11,0.25,115,0,97,31,412,0,200,165.0,11.0,0.006369300688664299,0.0,0.0,0.006369300688664299,0.011298683434572843,0.0,0.0,0.011298683434572843
3,76.0,31,0.0,68,0,42,39,260,1,150,178.0,62.3058527375708,0.0408485657480255,0.0,0.0032181143831188173,0.14159438071860167,0.05598452800341174,0.0,0.0032317400301458753,0.1571569054732711
4,73.0,8,0.25,43,4,40,1,124,2,41,180.0,203.00026169603316,0.020815443071658366,0.014147281436334177,0.0036182042793984543,0.6023209543686804,0.02090357663257032,0.01667379064251643,0.0036335239257856327,0.686508909044696
5,74.0,11,0.75,33,1,23,3,97,0,41,180.0,44.09713905522289,0.03172577809567082,0.0019921660466926013,0.0,0.09766077476414947,0.03769844532816411,0.0020006009710426846,0.0,0.10391261386077778
6,80.0,0,0.875,8,0,8,0,24,0,8,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,83.0,0,0.875,2,0,1,0,3,0,0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,68.0,21,1.0,62,0,25,3,121,2,34,180.0,83.6117054751416,0.05935706233459305,0.0,0.0019423618955252862,0.12016435779897652,0.0770328305505179,0.0,0.0019505859467666175,0.13809758695196875
9,70.0,3,0.875,25,0,8,0,50,1,17,179.0,34.3058527375708,0.01558463715938523,0.0,0.012467709727508184,0.40589692186353543,0.015554022796310232,0.0,0.012443218237048186,0.405099580506796
10,78.0,2,1.0,12,0,8,0,36,0,16,180.0,2.0,0.01701571251248385,0.0,0.0,0.01701571251248385,0.042150001632364605,0.0,0.0,0.042150001632364605
11,78.0,70,0.375,92,3,61,25,246,2,93,185.0,231.90312264081027,0.08983198702150474,0.004663583639510488,0.003719929888008179,0.36063884050211814,0.1380409855999833,0.007995536356105679,0.007316871224060032,0.6317312572392959
13,75.0,24,0.75,48,0,51,21,208,2,109,188.0,86.6117054751416,0.03687340852693113,0.0,0.000987249044229111,0.06778008172087518,0.05440688397891369,0.0,0.0010771706552463638,0.08812862988528901
14,79.0,66,0.25,60,1,63,9,211,0,88,184.0,99.0971390552229,0.09694193678825976,0.0015028042975121472,0.0,0.14668045959580586,0.09675150465822834,0.0014998521982156295,0.0,0.14639232142485273
16,90.0,4,0.0,69,0,54,1,206,0,83,188.0,4.0,0.00800455026585656,0.0,0.0,0.00800455026585656,0.009819602512980675,0.0,0.0,0.009819602512980675
17,76.0,21,0.0,51,0,34,13,131,0,46,188.0,21.0,0.05848709782212694,0.0,0.0,0.05848709782212694,0.07462398962845042,0.0,0.0,0.07462398962845042
18,62.0,21,0.0,126,0,68,55,339,0,145,175.0,21.0,0.025785933570173714,0.0,0.0,0.025785933570173714,0.034643064708672115,0.0,0.0,0.034643064708672115
20,76.0,14,0.0,36,1,18,1,82,1,28,190.0,78.40299179279369,0.040319427170516335,0.003302621376671179,0.006302142849062106,0.34692070208482717,0.06682438065296434,0.005252654567361999,0.007958550190211678,0.4898214195373289
21,73.0,29,0.0,45,2,31,4,131,1,55,173.0,126.50013084801658,0.06862795013848501,0.0023334977409051718,0.0023334977409051718,0.21891218599450335,0.07738810236261953,0.0025460397305823146,0.0025460397305823146,0.24136067823543894
22,87.0,18,0.25,59,1,40,51,182,0,83,193.0,51.09713905522289,0.03345551258643984,0.0012022434380097179,0.0,0.07324633083247671,0.04139504302262948,0.0011998817585725037,0.0,0.08110769643592901
23,88.0,1,0.0,16,0,6,0,44,1,22,190.0,32.3058527375708,0.01144217022169971,0.0,0.0023864102850785296,0.0861507791777925,0.005873578221144872,0.0,0.0037954665260938316,0.12469389435741778
24,78.0,23,0.25,86,1,56,41,209,0,67,180.0,56.09713905522289,0.03876306561701783,0.000388916290150862,0.0,0.05163508215298233,0.04487627389001945,0.00042433995509705237,0.0,0.05892071239055364
25,88.0,59,0.125,71,2,71,20,286,3,144,190.0,219.11183632315817,0.06917473581267936,0.004035140781182474,0.005681946327585875,0.38060452634906106,0.0997477660254523,0.0026348851280523075,0.007871511303254627,0.43337929918495166
26,69.0,22,0.25,82,1,43,39,178,0,53,171.0,55.09713905522289,0.0567096902091754,0.0007870076472067491,0.0,0.08275739174630098,0.08773387310443424,0.0012516964075415828,0.0,0.12916144315976097
27,74.0,90,0.25,134,2,120,178,453,3,199,180.0,250.11183632315817,0.068667696184224,0.0007643031478693484,0.001910757869673371,0.15378184823474939,0.10460952057928738,0.001048592788038698,0.002621481970096745,0.22138267040735374
28,73.0,16,0.125,87,0,62,60,294,0,145,183.0,16.0,0.031603397622033236,0.0,0.0,0.031603397622033236,0.05348121032914079,0.0,0.0,0.05348121032914079
29,82.0,3,0.25,8,0,11,0,29,0,10,188.0,3.0,0.031603397622033236,0.0,0.0,0.031603397622033236,0.05348121032914079,0.0,0.0,0.05348121032914079
30,67.0,58,0.25,85,1,59,33,373,3,229,172.0,185.01469726793528,0.03929561514927382,0.000285411723909855,0.0007583797235319004,0.0724836506075585,0.057765664011431184,0.00045393311075967894,0.0012061651228757184,0.1105495790139554
31,71.0,11,0.0,10,0,14,6,66,0,42,188.0,11.0,0.08168714295830663,0.0,0.0,0.08168714295830663,0.12821420007701984,0.0,0.0,0.12821420007701984
32,78.0,68,0.25,115,3,82,105,322,4,125,182.0,292.51482811595184,0.07101121354807352,0.0015493779297963556,0.002266126168788021,0.1932342024644702,0.10550918859666591,0.002464208315552543,0.0036041606388136915,0.29989875607879557
33,77.0,8,0.0,60,0,62,52,200,0,78,187.0,8.0,0.011768748569905793,0.0,0.0,0.011768748569905793,0.018717607584239102,0.0,0.0,0.018717607584239102
35,69.0,1,0.5,8,0,1,4,15,0,6,179.0,1.0,0.024044868760194356,0.0,0.0,0.024044868760194356,0.023997635171450073,0.0,0.0,0.023997635171450073
36,66.0,17,1.0,49,0,42,31,130,1,39,176.0,48.3058527375708,0.05120894127085805,0.0,0.0011952996280155607,0.08862881540278635,0.0597968904997355,0.0,0.0012003605826256107,0.09737520213139751
39,77.0,197,0.25,130,3,139,11,561,6,292,181.0,484.12653359109345,0.112319080401951,0.0005886955978528534,0.0019510029697051509,0.1928810321254373,0.1651603442566134,0.00093629098469787,0.002636986317415267,0.2787020024973018
40,82.0,69,0.125,70,0,50,4,171,3,51,186.0,162.91755821271238,0.11969494864966514,0.0,0.01139987769008598,0.4765778408418157,0.19477234675987226,0.0,0.018787302356122502,0.7829248676568601
