games,goals,height,skin_colour,redCards,ties,victories,defeats,yellowReds,yellowCards,weight,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
654,9,182.0,0.125,0,179,247,228,0,19,71.0,19.0,0.0115997180650952,0.0,0.0,0.0115997180650952,0.012771649957700035,0.0,0.0,0.012771649957700035
336,62,183.0,0.125,1,73,141,122,0,42,73.0,73.3058527375708,0.03604270668843746,0.0,0.0002967204314730935,0.0453317928203626,0.041615135037210774,0.0,0.00035828499595585143,0.05283155235868581
412,31,165.0,0.25,0,97,200,115,0,11,63.0,11.0,0.0061222513894196,0.0,0.0,0.0061222513894196,0.006491189873654119,0.0,0.0,0.006491189873654119
260,39,178.0,0.0,1,42,150,68,0,31,76.0,62.3058527375708,0.04383895397234804,0.0,0.00370201750187064,0.15973376871782008,0.04962735608433644,0.0,0.004433370796077616,0.18841780935738936
124,1,180.0,0.25,2,40,41,43,4,8,73.0,203.00026169603316,0.02394543058031076,0.014914000827199275,0.00416226832642753,0.6478595491092297,0.028675978052672947,0.017877953635835275,0.0049845466247791575,0.7764305781596327
97,3,180.0,0.75,0,23,41,33,1,11,74.0,44.09713905522289,0.03470753314062901,0.002291725120205634,0.0,0.11055707812042227,0.04076989348494268,0.0027444676356670954,0.0,0.13160392045517533
24,0,189.0,0.875,0,8,8,8,0,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,188.0,0.875,0,1,0,2,0,0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,3,180.0,1.0,2,25,34,62,0,21,68.0,83.6117054751416,0.06047192845733252,0.0,0.0022344319922004935,0.13042272735727814,0.07149134695821709,0.0,0.0026758559447754185,0.1552612991123097
50,0,179.0,0.875,1,8,17,25,0,3,70.0,34.3058527375708,0.01767959237527182,0.0,0.014143673900217457,0.46045936466370313,0.02134781434236948,0.0,0.017078251473895585,0.5559970399993461
36,0,180.0,1.0,0,8,16,12,0,2,78.0,2.0,0.01459759575177977,0.0,0.0,0.01459759575177977,0.012493915019155023,0.0,0.0,0.012493915019155023
246,25,185.0,0.375,2,61,93,92,3,70,78.0,231.90312264081027,0.08053265000443038,0.003489731107954624,0.0038093003210764253,0.3152861606345414,0.09469616160671351,0.004230877188178188,0.0037083583832595458,0.35081941367387703
85,14,185.0,0.0,1,25,28,32,1,11,78.0,75.40299179279369,0.04651542825529338,0.002806117698916102,0.002806117698916102,0.2272378033882002,0.05584790494631201,0.0032618687353266197,0.0032618687353266197,0.26592201033672264
208,21,188.0,0.75,2,51,109,48,0,24,75.0,86.6117054751416,0.03853467722411999,0.0,0.0012023905468130647,0.07617653861569702,0.042941848430972936,0.0,0.0013739810344296302,0.08595549635904212
211,9,184.0,0.25,0,63,88,60,1,66,79.0,99.0971390552229,0.10997329671250486,0.0017048178361869257,0.0,0.16639788970060768,0.13279093041310971,0.002058539240157057,0.0,0.2009226898952206
20,2,168.0,0.0,0,5,6,9,0,1,76.03452685421995,1.0,0.02340482133903506,0.0,0.0,0.02340482133903506,0.026744871472320075,0.0,0.0,0.026744871472320075
206,1,188.0,0.0,0,54,83,69,0,4,90.0,4.0,0.008022800978641501,0.0,0.0,0.008022800978641501,0.009738941174097659,0.0,0.0,0.009738941174097659
131,13,188.0,0.0,0,34,46,51,0,21,76.0,21.0,0.05544750854846041,0.0,0.0,0.05544750854846041,0.06830740484143295,0.0,0.0,0.06830740484143295
339,55,175.0,0.0,0,68,145,126,0,21,62.0,21.0,0.029258847635940163,0.0,0.0,0.029258847635940163,0.032520018641898005,0.0,0.0,0.032520018641898005
23,1,179.0,0.25,0,7,8,8,0,0,76.03452685421995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1,190.0,0.0,1,18,28,36,1,14,76.0,78.40299179279369,0.03709364334585437,0.002931390810474857,0.00635082786279948,0.3329323744598053,0.04155137617229469,0.003407487875296558,0.007617104552014318,0.39278942960201135
131,4,173.0,0.0,1,31,55,45,2,29,73.0,126.50013084801658,0.08112964619750078,0.0028420140197399713,0.0028420140197399713,0.26416385178581875,0.09321538154736715,0.0032475915359245805,0.0032475915359245805,0.3023699925818642
182,51,193.0,0.25,0,40,83,59,1,18,87.0,51.09713905522289,0.035321544745525284,0.0013638542689495404,0.0,0.08046121913600758,0.04169142144876204,0.0016468313921256456,0.0,0.09619682903445083
44,0,190.0,0.0,1,6,22,16,0,1,88.0,32.3058527375708,0.011379629586193558,0.0,0.0021181662630528,0.07769063069101516,0.016438090679649568,0.0,0.0024621847873110615,0.09351888504389673
209,41,180.0,0.25,0,56,67,86,1,23,78.0,56.09713905522289,0.04320488230187036,0.00047366900328999525,0.0,0.058881971169908155,0.05067638917599687,0.0005412652559874301,0.0,0.06859072061917366
286,20,190.0,0.125,3,71,144,71,2,59,88.0,219.11183632315817,0.07075942208101169,0.003957136338015822,0.00587930051407653,0.38578582981440096,0.08034985551459765,0.005585154624493877,0.00674240341627548,0.47627918321360707
178,39,171.0,0.25,0,43,53,82,1,22,69.0,55.09713905522289,0.05123729591056445,0.000698544193134434,0.0,0.07435711020695329,0.0598387002312861,0.0008119971107089671,0.0,0.08671348151686001
453,178,180.0,0.25,3,120,199,134,2,90,74.0,250.11183632315817,0.06227569517932195,0.0005979081981723605,0.0014947704954309012,0.12885981096291593,0.07311185209283101,0.0007917817990429297,0.001979454497607324,0.1612860753999666
294,60,183.0,0.125,0,62,145,87,0,16,73.0,16.0,0.028307442715163042,0.0,0.0,0.028307442715163042,0.031750816291045404,0.0,0.0,0.031750816291045404
29,0,188.0,0.25,0,11,10,8,0,3,82.0,3.0,0.028307442715163042,0.0,0.0,0.028307442715163042,0.031750816291045404,0.0,0.0,0.031750816291045404
373,33,172.0,0.25,3,59,229,85,1,58,67.0,185.01469726793528,0.03656105733475656,0.000253330070041037,0.0006731341861090411,0.06601859759272832,0.04306614647183351,0.00029447426082809765,0.0007824601787718023,0.0773079851602884
66,6,188.0,0.0,0,14,42,10,0,11,71.0,11.0,0.08931617083450556,0.0,0.0,0.08931617083450556,0.09513353002132817,0.0,0.0,0.09513353002132817
322,105,182.0,0.25,4,82,125,115,3,68,78.0,292.51482811595184,0.06834299429956657,0.0013752203802227722,0.0020114026613784588,0.1768275299684482,0.07886697887348616,0.0015985745587811012,0.0023380813491313615,0.20497085373997312
200,52,187.0,0.0,0,62,78,60,0,8,77.0,8.0,0.010445884488092132,0.0,0.0,0.010445884488092132,0.01214243580648887,0.0,0.0,0.01214243580648887
166,5,185.0,0.25,0,40,61,65,1,38,78.0,71.0971390552229,0.07089057282330095,0.0012833660673151552,0.0,0.11336631801198521,0.08450033864967489,0.0015369018759735734,0.0,0.13536739375300516
15,4,179.0,0.5,0,1,6,8,0,1,69.0,1.0,0.02727708537899081,0.0,0.0,0.02727708537899081,0.03293662784251291,0.0,0.0,0.03293662784251291
130,31,176.0,1.0,1,42,39,49,0,17,66.0,48.3058527375708,0.05587572166305204,0.0,0.0013750350721233805,0.09892236713994164,0.06604902693564492,0.0,0.0016466805814002573,0.11759976672277885
235,3,180.0,0.5,1,68,70,97,2,61,74.0,158.50013084801657,,,,,,,,
33,3,180.0,0.75,0,10,10,13,0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
