goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
9,1979,0,247,0,71,179,1,19,0,228,0,182,654,34
62,1986,0,141,2,73,73,0,42,1,122,0,183,336,87
31,1987,0,200,0,63,97,10,11,0,115,0,165,412,80
39,1990,0,150,0,76,42,3,31,1,68,0,178,260,6
1,1990,0,41,1,73,40,1,8,2,43,4,180,124,49
3,1988,1,41,1,74,23,10,11,0,33,1,180,97,36
0,1992,1,8,1,80,8,5,0,0,8,0,189,24,77
0,1990,1,0,1,83,1,5,0,0,2,0,188,3,36
3,1990,1,34,1,68,25,4,21,2,62,0,180,121,75
0,1994,1,17,2,70,8,6,3,1,25,0,179,50,74
0,1992,1,16,0,78,8,3,2,0,12,0,180,36,46
25,1985,0,93,3,78,61,4,70,2,92,3,185,246,23
21,1986,1,109,0,75,51,3,24,2,48,0,188,208,6
9,1985,0,88,2,79,63,4,66,0,60,1,184,211,33
1,1985,0,83,0,90,54,5,4,0,69,0,188,206,61
13,1988,0,46,2,76,34,7,21,0,51,0,188,131,0
55,1987,0,145,0,62,68,7,21,0,126,0,175,339,79
1,1988,0,28,3,76,18,1,14,1,36,1,190,82,67
4,1991,0,55,0,73,31,9,29,1,45,2,173,131,48
51,1987,0,83,2,87,40,2,18,0,59,1,193,182,1
0,1987,0,22,3,88,6,5,1,1,16,0,190,44,63
41,1989,0,67,0,78,56,7,23,0,86,1,180,209,58
20,1985,0,144,3,88,71,1,59,3,71,2,190,286,83
39,1984,0,53,3,69,43,2,22,0,82,1,171,178,35
178,1979,0,199,1,74,120,8,90,3,134,2,180,453,3
60,1988,0,145,3,73,62,2,16,0,87,0,183,294,10
0,1983,0,10,3,82,11,5,3,0,8,0,188,29,70
33,1984,0,229,3,67,59,7,58,3,85,1,172,373,29
6,1995,0,42,1,71,14,4,11,0,10,0,188,66,57
105,1981,0,125,3,78,82,2,68,4,115,3,182,322,9
52,1987,0,78,3,77,62,2,8,0,60,0,187,200,65
4,1993,0,6,2,69,1,0,1,0,8,0,179,15,2
31,1988,1,39,1,66,42,7,17,1,49,0,176,130,30
3,1984,0,70,1,74,68,4,61,1,97,2,180,235,30
11,1977,0,292,3,77,139,4,197,6,130,3,181,561,83
4,1989,0,51,3,82,50,1,69,3,70,0,186,171,72
11,1982,0,77,1,68,52,10,39,1,46,2,170,175,5
45,1981,0,104,3,73,41,11,36,1,52,0,175,197,60
1,1991,0,50,2,68,36,4,22,0,50,1,175,136,87
28,1985,0,138,0,80,57,6,50,3,90,4,187,285,46
16,1988,0,57,3,66,30,3,32,0,54,0,174,141,20
2,1991,1,6,0,72,15,2,3,0,13,0,180,34,46
4,1993,0,5,3,77,5,2,5,0,10,0,185,20,72
11,1987,1,209,3,74,65,4,67,0,73,2,182,347,29
3,1992,0,30,3,68,12,3,8,1,26,0,180,68,64
38,1982,0,243,1,92,81,1,48,2,47,0,188,371,57
12,1989,0,54,0,75,26,6,18,0,58,1,174,138,47
36,1990,0,85,2,85,43,8,25,0,57,1,183,185,0
2,1993,0,25,2,72,7,4,2,0,26,0,183,58,25
31,1982,0,132,2,92,90,1,42,3,103,4,193,325,86
0,1977,0,115,2,83,96,5,11,1,111,0,188,322,28
106,1983,0,121,2,84,85,0,39,0,136,2,196,342,25
6,1991,0,49,2,72,23,10,14,0,31,1,173,103,15
0,1992,0,41,2,83,22,5,1,0,26,0,189,89,69
11,1986,1,88,0,68,54,4,34,0,72,0,180,214,52
68,1982,1,111,1,70,53,11,33,2,65,0,176,229,75
42,1991,1,77,1,73,31,2,18,1,45,2,174,153,55
16,1985,0,96,3,80,57,1,77,4,102,7,183,255,35
96,1988,0,215,3,73,67,11,60,2,91,2,170,373,29
53,1986,0,91,3,73,51,0,25,0,85,0,175,227,59
7,1992,1,38,3,68,21,10,18,1,49,0,174,108,60
3,1988,0,46,2,68,27,4,27,2,43,0,169,116,0
24,1981,1,195,0,79,109,4,91,2,116,5,190,420,89
0,1993,0,26,1,88,14,5,0,0,7,0,190,47,57
3,1990,0,30,3,76,34,1,43,2,50,0,183,114,67
150,1985,0,162,3,87,58,2,27,5,101,0,186,321,72
4,1979,0,80,3,80,78,4,45,0,99,3,178,257,66
2,1994,0,19,3,69,12,8,9,0,24,1,180,55,62
32,1991,0,50,3,71,27,2,9,0,59,0,182,136,35
3,1991,0,9,3,80,10,2,5,0,10,0,182,29,59
4,1987,1,109,3,75,51,6,28,3,53,0,181,213,83
5,1983,0,45,3,86,37,1,40,1,44,4,192,126,62
11,1993,0,47,2,67,22,10,1,0,32,0,168,101,15
12,1987,1,41,1,81,27,6,19,0,31,2,186,99,3
5,1985,0,98,3,85,65,1,93,4,111,9,192,274,9
23,1979,0,229,2,75,83,4,62,2,94,2,181,406,12
21,1989,0,101,3,73,57,0,62,4,72,1,182,230,9
0,1984,0,50,0,80,20,5,1,0,30,0,193,100,47
1,1989,0,5,3,81,7,1,3,0,20,2,188,32,59
13,1988,1,148,0,69,27,3,19,0,45,0,176,220,47
56,1989,1,107,1,72,67,0,45,1,74,0,176,248,56
32,1990,0,60,2,74,28,7,15,2,48,1,180,136,33
11,1993,0,51,2,79,24,4,35,1,53,1,187,128,45
21,1980,1,89,1,76,82,1,53,3,99,2,184,270,4
101,1985,0,115,1,84,94,2,31,0,94,0,186,303,56
28,1983,0,108,0,74,47,6,44,1,43,0,180,198,6
4,1989,0,52,3,72,34,3,22,0,53,1,178,139,23
85,1990,0,137,2,74,55,8,11,1,70,0,184,262,11
0,1989,0,31,2,86,31,5,4,1,36,0,189,98,85
7,1987,0,125,2,70,72,9,57,0,99,1,180,296,2
76,1983,0,188,2,82,122,0,62,1,150,0,184,460,1
39,1984,0,132,2,69,74,4,62,1,88,4,172,294,33
19,1985,0,153,2,77,69,4,23,1,74,0,185,296,28
32,1991,0,50,0,72,37,2,12,0,61,0,179,148,8
45,1986,0,178,3,67,83,7,46,0,117,1,169,378,83
3,1987,0,43,3,83,17,1,17,0,39,0,187,99,20
85,1981,0,188,0,69,92,2,34,2,78,0,172,358,6
56,1981,0,94,3,84,55,2,38,0,89,4,188,238,60
121,1979,0,198,2,81,111,2,61,1,153,2,174,462,33
17,1991,0,67,0,76,33,7,15,1,58,0,183,158,81
134,1981,0,149,0,70,101,2,30,0,128,2,170,378,58
9,1981,0,157,3,71,93,9,87,2,139,5,180,389,62
69,1988,0,243,3,70,79,8,62,3,70,3,180,392,63
43,1987,0,64,3,68,44,2,18,0,69,1,172,177,41
11,1982,0,74,3,84,45,1,27,0,60,0,192,179,65
1,1986,1,91,3,64,44,4,32,1,44,0,175,179,18
46,1984,0,84,1,73,81,11,27,3,148,0,184,313,84
0,1990,0,27,1,81,12,5,3,0,15,0,184,54,55
20,1987,0,61,1,65,60,7,19,0,65,0,174,186,49
9,1979,0,285,1,77,138,9,91,1,140,1,180,563,55
58,1991,0,94,3,68,53,8,29,0,72,0,176,219,65
14,1982,0,87,0,78,60,1,43,3,69,3,184,216,90
5,1985,0,120,0,78,68,1,31,0,129,0,178,317,58
