,country,n_mention,pos,neg
0,Sweden,9.0,0.0728888888888889,0.009666666666666665
1,Finland,3.0,0.0,0.0
2,Nepal,1.0,0.187,0.0
3,Slovenia,3.0,0.0,0.048666666666666664
4,Zimbabwe,1.0,0.192,0.137
5,"Bolivia, Plurinational State of",4.0,0.1845,0.0
6,Saudi Arabia,3.0,0.142,0.09166666666666667
7,"Palestine, State of",21.0,0.11866666666666667,0.08252380952380953
8,Holy See (Vatican City State),11.0,0.08236363636363636,0.0
9,India,452.0,0.07647566371681408,0.02643805309734512
10,Lebanon,6.0,0.054,0.0655
11,Haiti,299.0,0.0948260869565217,0.05187959866220735
12,Belarus,28.0,0.041857142857142864,0.027821428571428573
13,Pakistan,274.0,0.09429197080291968,0.07418613138686132
14,Uruguay,7.0,0.006,0.0
15,Burundi,1.0,0.256,0.0
16,Greenland,1.0,0.038,0.0
17,Bosnia and Herzegovina,2.0,0.0765,0.0
18,Morocco,37.0,0.148972972972973,0.03545945945945946
19,Uganda,4.0,0.063,0.10575000000000001
20,Ireland,102.0,0.13718627450980392,0.05600980392156864
21,Turkey,31.0,0.08432258064516131,0.04938709677419356
22,Qatar,30.0,0.08613333333333333,0.0379
23,Lao People's Democratic Republic,5.0,0.045799999999999993,0.0
24,Yemen,8.0,0.035500000000000004,0.09887500000000002
25,Rwanda,3.0,0.05566666666666667,0.078
26,Poland,33.0,0.05890909090909091,0.06524242424242425
27,Jersey,5.0,0.037,0.0526
28,Isle of Man,12.0,0.011999999999999999,0.043250000000000004
29,Egypt,65.0,0.06838461538461538,0.05975384615384616
30,Australia,19.0,0.11036842105263157,0.019842105263157894
31,Germany,67.0,0.07083582089552241,0.07038805970149253
32,Liberia,9.0,0.14211111111111113,0.033666666666666664
33,Myanmar,5.0,0.08680000000000002,0.028000000000000004
34,Mozambique,2.0,0.049,0.0245
35,Mexico,45.0,0.10395555555555558,0.07764444444444443
36,Netherlands,5.0,0.1334,0.11200000000000002
37,San Marino,1.0,0.0,0.0
38,Oman,1.0,0.0,0.0
39,Costa Rica,4.0,0.03825,0.02875
40,Austria,82.0,0.036146341463414604,0.01613414634146341
41,Zambia,3.0,0.061,0.0
42,Angola,10.0,0.0381,0.0341
43,"Virgin Islands, U.S.",5.0,0.0342,0.0
44,Argentina,14.0,0.09485714285714286,0.022785714285714288
45,"Korea, Democratic People's Republic of",104.0,0.06094230769230771,0.08452884615384613
46,Saint Pierre and Miquelon,63.0,0.04,0.030825396825396825
47,Anguilla,1.0,0.0,0.024
48,Afghanistan,364.0,0.08430769230769233,0.07746153846153846
49,Luxembourg,2.0,0.073,0.0315
50,Switzerland,4.0,0.08625,0.00675
51,Gibraltar,1.0,0.0,0.0
52,Serbia,2.0,0.0155,0.081
53,Kyrgyzstan,6.0,0.19999999999999998,0.050166666666666665
54,Indonesia,51.0,0.1382156862745099,0.014705882352941176
55,Honduras,42.0,0.056880952380952386,0.051095238095238096
56,Brunei Darussalam,2.0,0.0,0.0
57,Montenegro,4.0,0.08,0.06925
58,Cyprus,1.0,0.206,0.019
59,Tuvalu,37.0,0.07729729729729731,0.0481891891891892
60,Mauritius,1.0,0.0,0.0
61,Hong Kong,1.0,0.209,0.0
62,Romania,8.0,0.11825,0.007875
63,Gabon,3.0,0.034999999999999996,0.0
64,Montserrat,13.0,0.098,0.0
65,Namibia,1.0,0.0,0.0
66,Andorra,87.0,0.04339080459770113,0.012011494252873562
67,Nicaragua,9.0,0.15988888888888889,0.035555555555555556
68,"Taiwan, Province of China",4.0,0.03125,0.0025
69,China,344.0,0.08636046511627912,0.058633720930232565
70,"Tanzania, United Republic of",3.0,0.13433333333333333,0.0
71,France,39.0,0.05651282051282052,0.055769230769230765
72,Estonia,4.0,0.1665,0.0
73,Congo,21.0,0.07533333333333334,0.10895238095238094
74,Italy,14.0,0.07935714285714286,0.009785714285714286
75,Ukraine,10.0,0.017,0.041400000000000006
76,Malaysia,3.0,0.0,0.0
77,Guyana,25.0,0.07400000000000001,0.03796
78,American Samoa,9.0,0.07211111111111111,0.007777777777777778
79,Bermuda,2.0,0.026,0.0525
80,Nigeria,6.0,0.10566666666666667,0.005166666666666667
81,Georgia,7.0,0.10471428571428573,0.0
82,Palau,75.0,0.1414666666666667,0.03741333333333335
83,Guinea-Bissau,1.0,0.0,0.08
84,Colombia,26.0,0.13842307692307693,0.05069230769230769
85,Portugal,17.0,0.08870588235294118,0.044647058823529415
86,Singapore,37.0,0.059054054054054055,0.049108108108108096
87,Libya,188.0,0.08727659574468087,0.09472872340425534
88,United Kingdom,42.0,0.09014285714285715,0.030714285714285715
89,Ethiopia,1.0,0.0,0.0
90,Kuwait,5.0,0.0194,0.0368
91,"Iran, Islamic Republic of",418.0,0.06676555023923447,0.06288038277511966
92,Chad,3.0,0.0,0.059
93,Chile,7.0,0.028,0.14285714285714285
94,Lithuania,12.0,0.09716666666666667,0.0135
95,Comoros,1.0,0.016,0.0
