,country,n_mention,pos,neg,polarity
0,"Bolivia, Plurinational State of",4.0,0.1845,0.0,0.1845
1,Ukraine,10.0,0.017,0.041400000000000006,-0.024400000000000005
2,Tunisia,22.0,0.14086363636363639,0.04381818181818182,0.09704545454545457
3,Czechia,2.0,0.158,0.0,0.158
4,Colombia,25.0,0.14395999999999998,0.049319999999999996,0.09463999999999997
5,"Congo, The Democratic Republic of the",20.0,0.06945,0.10939999999999998,-0.039949999999999986
6,Uruguay,7.0,0.006,0.0,0.006
7,Belgium,20.0,0.03765,0.020450000000000003,0.0172
8,Paraguay,2.0,0.0,0.0,0.0
9,Ghana,2.0,0.0,0.0,0.0
10,Ethiopia,1.0,0.0,0.0,0.0
11,Finland,3.0,0.0,0.0,0.0
12,Maldives,1.0,0.044,0.0,0.044
13,Iraq,211.0,0.07384834123222749,0.09374881516587678,-0.0199004739336493
14,Saudi Arabia,3.0,0.142,0.09166666666666667,0.05033333333333331
15,Romania,8.0,0.11825,0.007875,0.110375
16,Portugal,17.0,0.08870588235294118,0.044647058823529415,0.04405882352941176
17,Senegal,3.0,0.10033333333333333,0.10566666666666667,-0.005333333333333343
18,Bosnia and Herzegovina,2.0,0.0765,0.0,0.0765
19,France,39.0,0.05651282051282052,0.055769230769230765,0.0007435897435897551
20,Guinea,1.0,0.235,0.0,0.235
21,Liberia,9.0,0.14211111111111113,0.033666666666666664,0.10844444444444447
22,Malaysia,2.0,0.0,0.0,0.0
23,Argentina,13.0,0.08746153846153847,0.02453846153846154,0.06292307692307693
24,Bermuda,2.0,0.026,0.0525,-0.0265
25,Namibia,1.0,0.0,0.0,0.0
26,Ecuador,9.0,0.1637777777777778,0.08322222222222223,0.08055555555555557
27,Jordan,23.0,0.04608695652173913,0.03226086956521739,0.013826086956521738
28,"Venezuela, Bolivarian Republic of",5.0,0.078,0.0206,0.0574
29,Kenya,24.0,0.074625,0.06179166666666667,0.012833333333333329
30,Switzerland,4.0,0.08625,0.00675,0.07949999999999999
31,Cameroon,4.0,0.16925,0.00525,0.164
32,Indonesia,51.0,0.1382156862745099,0.014705882352941176,0.12350980392156871
33,Turkey,31.0,0.08432258064516131,0.04938709677419356,0.034935483870967746
34,Kazakhstan,4.0,0.13275,0.0,0.13275
35,Cyprus,1.0,0.206,0.019,0.187
36,Chile,7.0,0.028,0.14285714285714285,-0.11485714285714285
37,Mozambique,2.0,0.049,0.0245,0.0245
38,Bahamas,2.0,0.1885,0.037,0.1515
39,Isle of Man,12.0,0.011999999999999999,0.043250000000000004,-0.03125000000000001
40,Uganda,4.0,0.063,0.10575000000000001,-0.04275000000000001
41,Bahrain,1.0,0.098,0.0,0.098
42,Qatar,29.0,0.08910344827586206,0.03920689655172414,0.04989655172413792
43,Georgia,6.0,0.06566666666666666,0.0,0.06566666666666666
44,Japan,38.0,0.08126315789473686,0.030605263157894736,0.050657894736842124
45,Somalia,3.0,0.017666666666666667,0.018,-0.0003333333333333313
46,Congo,19.0,0.07310526315789474,0.11515789473684208,-0.04205263157894734
47,Bangladesh,4.0,0.09525,0.0,0.09525
48,Holy See (Vatican City State),6.0,0.13399999999999998,0.0,0.13399999999999998
49,Peru,6.0,0.034,0.05416666666666667,-0.020166666666666666
50,"Macedonia, Republic of",4.0,0.066,0.13825,-0.07225000000000001
51,Zambia,3.0,0.061,0.0,0.061
52,UK,176.0,0.051392045454545454,0.03247727272727274,0.018914772727272718
53,Guatemala,1.0,0.106,0.0,0.106
54,Israel,884.0,0.0995610859728507,0.07772511312217195,0.021835972850678745
55,Palau,75.0,0.1414666666666667,0.03741333333333335,0.10405333333333336
56,Albania,1.0,0.0,0.0,0.0
57,Angola,10.0,0.0381,0.0341,0.0040000000000000036
58,"Korea, Democratic People's Republic of",104.0,0.06094230769230771,0.08452884615384613,-0.023586538461538423
59,Guam,1.0,0.0,0.0,0.0
60,Philippines,4.0,0.11975,0.0,0.11975
61,Russian Federation,65.0,0.09001538461538461,0.0411076923076923,0.048907692307692305
62,Lebanon,6.0,0.054,0.0655,-0.011500000000000003
63,Latvia,4.0,0.23424999999999999,0.034499999999999996,0.19974999999999998
64,Lithuania,12.0,0.09716666666666667,0.0135,0.08366666666666667
65,Brazil,41.0,0.084,0.04104878048780488,0.042951219512195125
66,South Sudan,1.0,0.2,0.0,0.2
67,Montserrat,1.0,0.0,0.0,0.0
68,Sweden,3.0,0.13466666666666668,0.028999999999999998,0.10566666666666669
69,Kyrgyzstan,6.0,0.19999999999999998,0.050166666666666665,0.14983333333333332
70,Armenia,2.0,0.063,0.1175,-0.05449999999999999
71,Norway,20.0,0.09045,0.09179999999999999,-0.00134999999999999
72,Guyana,25.0,0.07400000000000001,0.03796,0.03604000000000001
73,Sudan,39.0,0.13512820512820517,0.06028205128205128,0.0748461538461539
74,Singapore,29.0,0.06703448275862069,0.05972413793103447,0.007310344827586218
75,Libya,188.0,0.08727659574468087,0.09472872340425534,-0.007452127659574467
76,Panama,2.0,0.035,0.0,0.035
77,"Taiwan, Province of China",4.0,0.03125,0.0025,0.02875
78,Cambodia,1.0,0.0,0.0,0.0
79,Falkland Islands (Malvinas),18.0,0.022000000000000002,0.053277777777777785,-0.03127777777777778
80,Morocco,29.0,0.18310344827586209,0.04524137931034483,0.13786206896551725
81,Mexico,45.0,0.10395555555555558,0.07764444444444443,0.026311111111111146
82,Pakistan,274.0,0.09429197080291968,0.07418613138686132,0.020105839416058355
83,Ireland,102.0,0.13718627450980392,0.05600980392156864,0.08117647058823528
84,Sri Lanka,3.0,0.09499999999999999,0.11266666666666668,-0.01766666666666669
85,Uzbekistan,3.0,0.03833333333333334,0.0,0.03833333333333334
86,India,153.0,0.08198692810457514,0.04859477124183008,0.03339215686274506
87,"Iran, Islamic Republic of",418.0,0.06676555023923447,0.06288038277511966,0.003885167464114811
88,Australia,13.0,0.11607692307692306,0.02,0.09607692307692306
89,Tuvalu,4.0,0.06825,0.07675000000000001,-0.008500000000000008
90,Seychelles,6.0,0.14566666666666667,0.04416666666666667,0.1015
91,United Kingdom,40.0,0.077125,0.040100000000000004,0.037024999999999995
92,Estonia,4.0,0.1665,0.0,0.1665
93,Azerbaijan,13.0,0.03776923076923077,0.031384615384615386,0.006384615384615384
94,Haiti,299.0,0.0948260869565217,0.05187959866220735,0.04294648829431435
95,Cuba,19.0,0.09426315789473685,0.020210526315789474,0.07405263157894738
96,Italy,14.0,0.07935714285714286,0.009785714285714286,0.06957142857142858
97,Malawi,3.0,0.13033333333333333,0.0,0.13033333333333333
98,Yemen,8.0,0.035500000000000004,0.09887500000000002,-0.06337500000000001
99,Iceland,10.0,0.0403,0.0128,0.027500000000000004
100,Syrian Arab Republic,30.0,0.06573333333333335,0.05033333333333333,0.015400000000000025
101,Oman,1.0,0.0,0.0,0.0
102,Afghanistan,362.0,0.08437016574585637,0.07751657458563535,0.006853591160221023
103,Denmark,28.0,0.0854642857142857,0.08532142857142858,0.00014285714285712514
104,Germany,58.0,0.07539655172413796,0.07984482758620688,-0.004448275862068918
105,Slovenia,3.0,0.0,0.048666666666666664,-0.048666666666666664
106,South Africa,3.0,0.08966666666666667,0.0,0.08966666666666667
107,Malta,1.0,0.0,0.0,0.0
108,China,344.0,0.08636046511627912,0.058633720930232565,0.027726744186046558
109,Rwanda,3.0,0.05566666666666667,0.078,-0.02233333333333333
110,Luxembourg,2.0,0.073,0.0315,0.041499999999999995
111,Chad,3.0,0.0,0.059,-0.059
112,Nigeria,6.0,0.10566666666666667,0.005166666666666667,0.1005
113,Spain,12.0,0.14841666666666667,0.050833333333333335,0.09758333333333333
114,Poland,30.0,0.06480000000000001,0.06643333333333333,-0.00163333333333332
115,Myanmar,2.0,0.0495,0.041,0.0085
116,Algeria,3.0,0.10633333333333334,0.09300000000000001,0.013333333333333322
117,Austria,10.0,0.020200000000000003,0.0821,-0.061900000000000004
118,"Korea, Republic of",104.0,0.06094230769230771,0.08452884615384613,-0.023586538461538423
119,Greece,20.0,0.0578,0.0728,-0.015000000000000006
120,Kuwait,5.0,0.0194,0.0368,-0.0174
121,Nepal,1.0,0.187,0.0,0.187
122,Egypt,65.0,0.06838461538461538,0.05975384615384616,0.00863076923076922
123,Honduras,42.0,0.056880952380952386,0.051095238095238096,0.00578571428571429
